video,frame,sports_ball_positions,LEFT_SHOULDER_vel,RIGHT_SHOULDER_vel,LEFT_SHOULDER_acc,RIGHT_SHOULDER_acc,LEFT_ELBOW_vel,RIGHT_ELBOW_vel,LEFT_ELBOW_acc,RIGHT_ELBOW_acc,LEFT_WRIST_vel,RIGHT_WRIST_vel,LEFT_WRIST_acc,RIGHT_WRIST_acc,LEFT_HIP_vel,RIGHT_HIP_vel,LEFT_HIP_acc,RIGHT_HIP_acc,NOSE_pos_x,NOSE_pos_y,LEFT_SHOULDER_pos_x,LEFT_SHOULDER_pos_y,RIGHT_SHOULDER_pos_x,RIGHT_SHOULDER_pos_y,LEFT_ELBOW_pos_x,LEFT_ELBOW_pos_y,RIGHT_ELBOW_pos_x,RIGHT_ELBOW_pos_y,LEFT_WRIST_pos_x,LEFT_WRIST_pos_y,RIGHT_WRIST_pos_x,RIGHT_WRIST_pos_y,LEFT_HIP_pos_x,LEFT_HIP_pos_y,RIGHT_HIP_pos_x,RIGHT_HIP_pos_y,LEFT_ELBOW_LEFT_SHOULDER_LEFT_WRIST_angle,RIGHT_ELBOW_RIGHT_SHOULDER_RIGHT_WRIST_angle,LEFT_SHOULDER_LEFT_HIP_LEFT_ELBOW_angle,RIGHT_SHOULDER_RIGHT_HIP_RIGHT_ELBOW_angle,is_shot,shot_id,shot_invalid,make
long_vid.mov,41,"116.55,86.47",187.06,167.1,2452.81,2186.1,210.47,97.07,2198.59,6.61,605.39,81.83,4914.81,-1193.07,30.52,30.52,345.15,345.15,59.95,-296.82,83.67,-205.39,-59.63,-230.84,96.41,-92.31,-74.96,-105.7,126.29,-9.92,2.11,-65.6,34.75,2.16,-34.75,-2.16,166.5,110.5,19.69,13.19,0,0,0,
long_vid.mov,42,"117.13,65.33",162.97,163.25,-1327.16,-212.16,172.26,110.47,-2105.82,738.62,468.84,114.95,-7524.86,1824.96,25.77,25.77,-261.58,-261.58,59.76,-298.04,83.05,-206.19,-58.94,-232.27,95.57,-93.2,-74.01,-106.64,129.1,-15.37,3.33,-63.37,34.52,2.27,-34.52,-2.27,163.01,112.38,19.43,12.9,0,0,0,
long_vid.mov,43,"114.34,48.0",131.8,122.1,-1717.87,-2267.65,133.97,91.55,-2110.05,-1042.44,349.39,116.43,-6582.17,81.38,27.98,27.98,121.97,121.97,56.7,-298.65,79.86,-206.41,-61.47,-232.79,92.4,-93.43,-76.53,-106.97,130.1,-19.89,0.27,-62.53,34.63,1.89,-34.63,-1.89,159.19,113.23,18.58,13.45,0,0,0,
long_vid.mov,44,0,103.21,99.13,-1575.33,-1265.81,106.95,95.48,-1488.99,216.57,292.41,128.56,-3140.37,668.63,33.89,33.89,325.32,325.32,56.59,-298.07,79.04,-205.27,-62.19,-231.79,91.77,-92.16,-77.14,-105.79,128.68,-24.84,-0.72,-61.71,34.89,0.73,-34.89,-0.73,157.68,113.21,18.52,13.5,0,0,0,
long_vid.mov,45,"113.18,17.72",96.45,81.02,-372.89,-997.99,123.17,89.07,894.2,-353.24,299.69,104.54,401.36,-1323.67,48.37,48.37,798.32,798.32,57.56,-299.1,78.45,-205.01,-62.36,-231.22,91.04,-94.13,-77.05,-104.81,127.88,-31.33,-1.14,-60.56,35.1,-0.29,-35.1,0.29,156.09,113.62,18.44,13.34,0,0,0,
long_vid.mov,46,"112.52,7.39",81.31,81.25,-834.32,12.86,106.58,81.68,-914.22,-407.42,241.42,99.38,-3210.9,-284.35,61.64,61.64,731.27,731.27,57.16,-298.67,77.54,-202.82,-63.27,-228.79,89.52,-92.44,-77.67,-102.77,126.42,-31.28,-0.85,-57.67,35.98,-0.99,-35.98,0.99,155.08,113.9,17.83,13.29,0,0,0,
long_vid.mov,47,"110.47,0.52",68.24,77.91,-720.06,-184.24,133.96,73.3,1508.46,-461.61,260.81,109.52,1068.16,558.97,48.69,48.69,-714.0,-714.0,58.34,-298.51,76.96,-202.44,-63.44,-227.76,88.22,-95.04,-77.5,-101.92,124.6,-37.22,0.11,-56.11,35.79,-1.44,-35.79,1.44,153.81,114.17,17.56,13.26,0,0,0,
long_vid.mov,48,"107.91,-5.42",76.3,90.27,444.16,681.49,144.62,71.26,587.81,-112.6,250.68,137.24,-558.24,1527.2,36.03,36.03,-697.47,-697.47,58.14,-299.34,75.91,-202.18,-63.93,-226.58,86.2,-96.81,-77.28,-101.07,120.77,-41.82,2.42,-54.64,35.44,-1.42,-35.44,1.42,153.43,114.15,16.98,13.2,0,0,0,
long_vid.mov,49,"101.86,-11.13",72.07,61.57,-233.1,-1581.94,177.67,67.85,1821.1,-188.1,365.5,91.0,6327.75,-2548.15,23.33,23.33,-699.68,-699.68,56.63,-301.95,74.43,-203.74,-64.96,-226.62,83.3,-99.68,-79.2,-101.43,116.16,-47.99,2.8,-54.63,35.15,-1.1,-35.15,1.1,152.43,113.23,15.84,13.95,0,0,0,
long_vid.mov,50,0,67.04,60.79,-277.37,-42.8,155.94,68.57,-1197.29,39.68,351.39,106.45,-777.56,851.77,21.2,21.2,-117.38,-117.38,55.28,-302.96,74.42,-204.16,-64.32,-225.84,81.63,-100.1,-79.99,-100.98,112.42,-51.94,5.31,-53.71,35.09,-0.74,-35.09,0.74,151.37,111.84,14.91,14.5,0,0,0,
long_vid.mov,51,"97.51,-16.73",66.91,65.23,-7.16,244.86,135.77,69.29,-1111.88,39.68,328.03,92.45,-1287.49,-771.87,26.1,26.1,269.66,269.66,56.24,-304.68,75.01,-205.06,-62.85,-226.19,81.08,-101.6,-79.82,-101.88,110.75,-56.35,7.28,-53.87,34.47,-0.65,-34.47,0.65,150.11,111.09,14.58,14.91,0,0,0,
long_vid.mov,52,0,62.37,53.08,-249.82,-669.73,74.75,73.89,-3362.45,253.49,275.32,116.0,-2904.88,1297.77,24.83,24.83,-69.99,-69.99,55.19,-306.32,76.15,-206.58,-62.62,-226.48,80.95,-102.34,-82.0,-102.15,106.35,-58.36,5.77,-54.55,34.12,-0.58,-34.12,0.58,152.62,109.61,14.17,16.02,0,0,0,
long_vid.mov,53,0,75.54,47.11,725.39,-328.8,61.38,85.21,-736.78,623.81,242.16,95.39,-1827.35,-1135.39,19.47,19.47,-295.01,-295.01,55.45,-307.4,77.13,-207.15,-61.94,-226.4,80.67,-103.3,-83.48,-102.53,103.5,-60.62,4.68,-55.66,34.07,-0.52,-34.07,0.52,153.81,108.13,13.73,16.87,0,0,0,
long_vid.mov,54,0,80.55,36.33,276.09,-594.24,60.37,109.7,-55.66,1349.75,260.92,88.86,1034.17,-359.85,9.24,9.24,-563.75,-563.75,55.82,-307.44,78.49,-207.12,-61.6,-225.53,81.34,-101.91,-85.62,-101.83,98.27,-58.28,3.06,-55.77,34.07,-0.59,-34.07,0.59,160.35,106.46,13.69,17.93,0,0,0,
long_vid.mov,55,0,65.92,32.0,-805.85,-238.8,67.82,117.68,410.36,439.75,273.86,130.28,712.72,2282.17,4.83,4.83,-243.02,-243.02,55.45,-309.35,79.38,-207.76,-61.69,-225.63,82.5,-101.84,-88.17,-102.45,92.86,-59.5,-0.26,-57.84,34.06,-0.47,-34.06,0.47,167.93,104.77,14.02,19.1,0,0,0,
long_vid.mov,56,"89.59,-27.09",67.64,39.44,94.79,410.0,58.46,103.91,-515.44,-758.82,260.28,125.46,-748.17,-265.43,13.29,13.29,465.84,465.84,56.36,-311.54,80.61,-207.75,-60.61,-225.67,82.85,-101.5,-88.95,-102.43,89.96,-59.42,-1.49,-58.23,33.53,-0.37,-33.53,0.37,171.61,103.86,14.0,19.78,0,0,0,
long_vid.mov,57,"89.5,-31.26",65.86,34.48,-98.09,-273.33,37.41,85.58,-1160.37,-1010.11,196.26,145.0,-3527.95,1076.61,13.67,13.67,21.31,21.31,57.18,-312.82,81.73,-208.33,-60.15,-226.14,82.82,-101.89,-90.09,-102.95,87.81,-60.04,-3.78,-59.63,33.51,-0.29,-33.51,0.29,173.8,103.0,13.64,20.37,0,0,0,
